assignees__id,assignees__login,assignees__name,author__id,author__is_bot,author__login,author__name,body,closed,closedAt,comments__id,comments__author__login,comments__authorAssociation,comments__body,comments__createdAt,comments__includesCreatedEdit,comments__isMinimized,comments__minimizedReason,comments__url,comments__viewerDidAuthor,createdAt,id,labels__id,labels__name,labels__description,labels__color,milestone__number,milestone__title,milestone__description,milestone__dueOn,number,projectItems__status__optionId,projectItems__status__name,projectItems__title,state,title,updatedAt,url
,,,MDQ6VXNlcjEwMjI2MDg0,FALSE,Zwiqler94,Jake Z,Prevents #289 ,TRUE,11/19/23 5:11,,,,,,,,,,,11/18/23 19:38,I_kwDOFen07c53Pf96,MDU6TGFiZWwzMDAyMzA3NTY2,bug,Something isn't working,d73a4a,9,v4/5 Release - Content Pt. 1 - 3,"This release is for finalizing content and functionality for content only \r\nFirst stable version!\r\n\r\n- Design Spike\r\n  -  color\r\n  -  typography\r\n  -  Breakpoints basic\r\n- Content \r\n   -  Homepage \r\n   -  About me\r\n      - About Me Tab\r\n      - Skills Tab\r\n  - Add Contact Me, designs in v4\r\n- Designs\r\n   - Breakpoints Advanced\r\n-  Components\r\n   -  Image Posts\r\n-  Content \r\n   -  Hobbies\r\n   -  News\r\n   -  About Me\r\n      -  Projects Tab\r\n      -  Credentials Tab\r\n- Content functionality\r\n  - finish up how db and app will sync up\r\n  - where db will be hosted ($)\r\n-  Content \r\n   -  News\r\n      -  Huxley News",12/31/23 12:00 AM,358,18134ac6,✅ Done,@Zwiqler94's Portfolio Backlog,CLOSED,App Check Not Working,11/19/23 5:11,https://github.com/Zwiqler94/jz-portfolio/issues/358
,,,,,,,,,,,,,,,,,,,,,,LA_kwDOFen07c8AAAABcwrHiw,BLOCKER,,b60205,,,,,,,,,,Empty,,
,,,MDQ6VXNlcjEwMjI2MDg0,FALSE,Zwiqler94,Jake Z,/- size options,FALSE,,,,,,,,,,,,9/1/23 3:07,I_kwDOFen07c5v2zYD,MDU6TGFiZWwzMDAyMzA3NTc0,enhancement,New feature or request,a2eeef,10,v5.5  Release - Enhancements,,3/13/24 12:00 AM,337,db536ffd,📋 Backlog,@Zwiqler94's Portfolio Backlog,OPEN,Add Dock/Minimize to Projects Page,11/18/23 19:33,https://github.com/Zwiqler94/jz-portfolio/issues/337
,,,MDQ6VXNlcjEwMjI2MDg0,FALSE,Zwiqler94,Jake Z,,FALSE,,,,,,,,,,,,7/28/23 23:13,I_kwDOFen07c5s6M43,,,,,9,v4/5 Release - Content Pt. 1 - 3,"This release is for finalizing content and functionality for content only \r\nFirst stable version!\r\n\r\n- Design Spike\r\n  -  color\r\n  -  typography\r\n  -  Breakpoints basic\r\n- Content \r\n   -  Homepage \r\n   -  About me\r\n      - About Me Tab\r\n      - Skills Tab\r\n  - Add Contact Me, designs in v4\r\n- Designs\r\n   - Breakpoints Advanced\r\n-  Components\r\n   -  Image Posts\r\n-  Content \r\n   -  Hobbies\r\n   -  News\r\n   -  About Me\r\n      -  Projects Tab\r\n      -  Credentials Tab\r\n- Content functionality\r\n  - finish up how db and app will sync up\r\n  - where db will be hosted ($)\r\n-  Content \r\n   -  News\r\n      -  Huxley News",12/31/23 12:00 AM,306,db536ffd,📋 Backlog,@Zwiqler94's Portfolio Backlog,OPEN,Breakpoints Everything Lib,9/9/23 21:34,https://github.com/Zwiqler94/jz-portfolio/issues/306
,,,MDQ6VXNlcjEwMjI2MDg0,FALSE,Zwiqler94,Jake Z,- [ ] #87 \r\n- [ ] #288 \r\n- [ ] #306,FALSE,,,,,,,,,,,,7/28/23 23:13,I_kwDOFen07c5s6M4K,,,,,8,2023-2024,Task Tracking Milestone for 2023,12/31/24 12:00 AM,305,dd6d47d5,🏗 In progress,@Zwiqler94's Portfolio Backlog,OPEN,Breakpoints,7/28/23 23:13,https://github.com/Zwiqler94/jz-portfolio/issues/305
,,,MDQ6VXNlcjEwMjI2MDg0,FALSE,Zwiqler94,Jake Z,,FALSE,,,,,,,,,,,,7/18/23 5:40,I_kwDOFen07c5r1YBw,,,,,9,v4/5 Release - Content Pt. 1 - 3,"This release is for finalizing content and functionality for content only \r\nFirst stable version!\r\n\r\n- Design Spike\r\n  -  color\r\n  -  typography\r\n  -  Breakpoints basic\r\n- Content \r\n   -  Homepage \r\n   -  About me\r\n      - About Me Tab\r\n      - Skills Tab\r\n  - Add Contact Me, designs in v4\r\n- Designs\r\n   - Breakpoints Advanced\r\n-  Components\r\n   -  Image Posts\r\n-  Content \r\n   -  Hobbies\r\n   -  News\r\n   -  About Me\r\n      -  Projects Tab\r\n      -  Credentials Tab\r\n- Content functionality\r\n  - finish up how db and app will sync up\r\n  - where db will be hosted ($)\r\n-  Content \r\n   -  News\r\n      -  Huxley News",12/31/23 12:00 AM,298,dd6d47d5,🏗 In progress,@Zwiqler94's Portfolio Backlog,OPEN,Photo Tab,9/9/23 21:34,https://github.com/Zwiqler94/jz-portfolio/issues/298
,,,MDQ6VXNlcjEwMjI2MDg0,FALSE,Zwiqler94,Jake Z,,FALSE,,,,,,,,,,,,7/18/23 5:40,I_kwDOFen07c5r1YBW,,,,,9,v4/5 Release - Content Pt. 1 - 3,"This release is for finalizing content and functionality for content only \r\nFirst stable version!\r\n\r\n- Design Spike\r\n  -  color\r\n  -  typography\r\n  -  Breakpoints basic\r\n- Content \r\n   -  Homepage \r\n   -  About me\r\n      - About Me Tab\r\n      - Skills Tab\r\n  - Add Contact Me, designs in v4\r\n- Designs\r\n   - Breakpoints Advanced\r\n-  Components\r\n   -  Image Posts\r\n-  Content \r\n   -  Hobbies\r\n   -  News\r\n   -  About Me\r\n      -  Projects Tab\r\n      -  Credentials Tab\r\n- Content functionality\r\n  - finish up how db and app will sync up\r\n  - where db will be hosted ($)\r\n-  Content \r\n   -  News\r\n      -  Huxley News",12/31/23 12:00 AM,297,db536ffd,📋 Backlog,@Zwiqler94's Portfolio Backlog,OPEN,Fitness Tab,9/9/23 21:34,https://github.com/Zwiqler94/jz-portfolio/issues/297
,,,MDQ6VXNlcjEwMjI2MDg0,FALSE,Zwiqler94,Jake Z,,FALSE,,,,,,,,,,,,7/18/23 5:40,I_kwDOFen07c5r1YA5,,,,,9,v4/5 Release - Content Pt. 1 - 3,"This release is for finalizing content and functionality for content only \r\nFirst stable version!\r\n\r\n- Design Spike\r\n  -  color\r\n  -  typography\r\n  -  Breakpoints basic\r\n- Content \r\n   -  Homepage \r\n   -  About me\r\n      - About Me Tab\r\n      - Skills Tab\r\n  - Add Contact Me, designs in v4\r\n- Designs\r\n   - Breakpoints Advanced\r\n-  Components\r\n   -  Image Posts\r\n-  Content \r\n   -  Hobbies\r\n   -  News\r\n   -  About Me\r\n      -  Projects Tab\r\n      -  Credentials Tab\r\n- Content functionality\r\n  - finish up how db and app will sync up\r\n  - where db will be hosted ($)\r\n-  Content \r\n   -  News\r\n      -  Huxley News",12/31/23 12:00 AM,296,dd6d47d5,🏗 In progress,@Zwiqler94's Portfolio Backlog,OPEN,Japanese Tab,9/9/23 21:34,https://github.com/Zwiqler94/jz-portfolio/issues/296
,,,MDQ6VXNlcjEwMjI2MDg0,FALSE,Zwiqler94,Jake Z,- [ ] #296\r\n- [ ] #297\r\n- [ ] #298,FALSE,,,,,,,,,,,,7/18/23 5:39,I_kwDOFen07c5r1Xv7,,,,,8,2023-2024,Task Tracking Milestone for 2023,12/31/24 12:00 AM,295,db536ffd,📋 Backlog,@Zwiqler94's Portfolio Backlog,OPEN,Hobbies Page,7/18/23 5:41,https://github.com/Zwiqler94/jz-portfolio/issues/295
,,,MDQ6VXNlcjEwMjI2MDg0,FALSE,Zwiqler94,Jake Z,,FALSE,,,,,,,,,,,,7/18/23 5:34,I_kwDOFen07c5r1WyO,,,,,6,v6  Release - Social Media Expanded,Go through Meta App requirements to used their api and get content to display in a custom manner.  ,2/29/24 12:00 AM,294,db536ffd,📋 Backlog,@Zwiqler94's Portfolio Backlog,OPEN,Style Social Page,7/18/23 5:35,https://github.com/Zwiqler94/jz-portfolio/issues/294
,,,MDQ6VXNlcjEwMjI2MDg0,FALSE,Zwiqler94,Jake Z,,TRUE,7/18/23 5:35,,,,,,,,,,,7/18/23 5:34,I_kwDOFen07c5r1Wxg,,,,,2,v2 Release - Content Pt. 1,"First stable version!\r\n\r\n- Design Spike\r\n  -  color\r\n  -  typography\r\n  -  Breakpoints basic\r\n- Content \r\n   -  Homepage \r\n   -  About me\r\n      - About Me Tab\r\n      - Skills Tab\r\n  - Add Contact Me, designs in v4\r\n     ",8/16/23 12:00 AM,293,18134ac6,✅ Done,@Zwiqler94's Portfolio Backlog,CLOSED,Re-add social page,7/18/23 5:35,https://github.com/Zwiqler94/jz-portfolio/issues/293
,,,MDQ6VXNlcjEwMjI2MDg0,FALSE,Zwiqler94,Jake Z,,TRUE,8/31/23 1:18,,,,,,,,,,,7/18/23 5:05,I_kwDOFen07c5r1PH2,,,,,7,v5 Release - Security,/- Authentication for apis that need it\r\n- DB Sec\r\n- GCP Sec,1/31/24 12:00 AM,292,18134ac6,✅ Done,@Zwiqler94's Portfolio Backlog,CLOSED,Add Styling,8/31/23 1:18,https://github.com/Zwiqler94/jz-portfolio/issues/292
,,,MDQ6VXNlcjEwMjI2MDg0,FALSE,Zwiqler94,Jake Z,Add contact me page,TRUE,7/18/23 5:21,,,,,,,,,,,7/18/23 5:05,I_kwDOFen07c5r1PG_,,,,,2,v2 Release - Content Pt. 1,"First stable version!\r\n\r\n- Design Spike\r\n  -  color\r\n  -  typography\r\n  -  Breakpoints basic\r\n- Content \r\n   -  Homepage \r\n   -  About me\r\n      - About Me Tab\r\n      - Skills Tab\r\n  - Add Contact Me, designs in v4\r\n     ",8/16/23 12:00 AM,291,18134ac6,✅ Done,@Zwiqler94's Portfolio Backlog,CLOSED,Add Page,8/31/23 1:20,https://github.com/Zwiqler94/jz-portfolio/issues/291
,,,MDQ6VXNlcjEwMjI2MDg0,FALSE,Zwiqler94,Jake Z,,TRUE,11/17/23 1:23,,,,,,,,,,,7/18/23 4:58,I_kwDOFen07c5r1Nwz,MDU6TGFiZWwzMDAyMzA3NTgy,invalid,This doesn't seem right,e4e669,9,v4/5 Release - Content Pt. 1 - 3,"This release is for finalizing content and functionality for content only \r\nFirst stable version!\r\n\r\n- Design Spike\r\n  -  color\r\n  -  typography\r\n  -  Breakpoints basic\r\n- Content \r\n   -  Homepage \r\n   -  About me\r\n      - About Me Tab\r\n      - Skills Tab\r\n  - Add Contact Me, designs in v4\r\n- Designs\r\n   - Breakpoints Advanced\r\n-  Components\r\n   -  Image Posts\r\n-  Content \r\n   -  Hobbies\r\n   -  News\r\n   -  About Me\r\n      -  Projects Tab\r\n      -  Credentials Tab\r\n- Content functionality\r\n  - finish up how db and app will sync up\r\n  - where db will be hosted ($)\r\n-  Content \r\n   -  News\r\n      -  Huxley News",12/31/23 12:00 AM,290,18134ac6,✅ Done,@Zwiqler94's Portfolio Backlog,CLOSED,add ability to pull post from static source in deployed versions,11/17/23 1:23,https://github.com/Zwiqler94/jz-portfolio/issues/290
,,,MDQ6VXNlcjEwMjI2MDg0,FALSE,Zwiqler94,Jake Z,prevents all content issue from being fixed #121 ,TRUE,11/19/23 5:14,,,,,,,,,,,7/18/23 4:58,I_kwDOFen07c5r1NwF,LA_kwDOFen07c8AAAABSQbNTg,Content,task to add content,327604,9,v4/5 Release - Content Pt. 1 - 3,"This release is for finalizing content and functionality for content only \r\nFirst stable version!\r\n\r\n- Design Spike\r\n  -  color\r\n  -  typography\r\n  -  Breakpoints basic\r\n- Content \r\n   -  Homepage \r\n   -  About me\r\n      - About Me Tab\r\n      - Skills Tab\r\n  - Add Contact Me, designs in v4\r\n- Designs\r\n   - Breakpoints Advanced\r\n-  Components\r\n   -  Image Posts\r\n-  Content \r\n   -  Hobbies\r\n   -  News\r\n   -  About Me\r\n      -  Projects Tab\r\n      -  Credentials Tab\r\n- Content functionality\r\n  - finish up how db and app will sync up\r\n  - where db will be hosted ($)\r\n-  Content \r\n   -  News\r\n      -  Huxley News",12/31/23 12:00 AM,289,18134ac6,✅ Done,@Zwiqler94's Portfolio Backlog,CLOSED,Setup DB to manage posts in app,11/19/23 5:14,https://github.com/Zwiqler94/jz-portfolio/issues/289
,,,,,,,,,8/31/23 1:18,,,,,,,,,,,,,LA_kwDOFen07c8AAAABcwrHiw,BLOCKER,,b60205,,,,,,,,,,Empty,,
,,,MDQ6VXNlcjEwMjI2MDg0,FALSE,Zwiqler94,Jake Z,,FALSE,7/28/23 22:47,,,,,,,,,,,7/18/23 4:54,I_kwDOFen07c5r1MTO,MDU6TGFiZWwzMTAzMTgyOTMx,style,"Improvements of UI styling (CSS, SCSS)",fbca04,9,v4/5 Release - Content Pt. 1 - 3,"This release is for finalizing content and functionality for content only \r\nFirst stable version!\r\n\r\n- Design Spike\r\n  -  color\r\n  -  typography\r\n  -  Breakpoints basic\r\n- Content \r\n   -  Homepage \r\n   -  About me\r\n      - About Me Tab\r\n      - Skills Tab\r\n  - Add Contact Me, designs in v4\r\n- Designs\r\n   - Breakpoints Advanced\r\n-  Components\r\n   -  Image Posts\r\n-  Content \r\n   -  Hobbies\r\n   -  News\r\n   -  About Me\r\n      -  Projects Tab\r\n      -  Credentials Tab\r\n- Content functionality\r\n  - finish up how db and app will sync up\r\n  - where db will be hosted ($)\r\n-  Content \r\n   -  News\r\n      -  Huxley News",12/31/23 12:00 AM,288,db536ffd,📋 Backlog,@Zwiqler94's Portfolio Backlog,OPEN,"Add Breakpoints for LG, XL, non-standard screen sizes",11/19/23 5:57,https://github.com/Zwiqler94/jz-portfolio/issues/288
,,,MDQ6VXNlcjEwMjI2MDg0,FALSE,Zwiqler94,Jake Z,- [x] #291\r\n- [x] #292,TRUE,8/31/23 1:18,,,,,,,,,,,7/15/23 20:34,I_kwDOFen07c5rqk4X,,,,,8,2023-2024,Task Tracking Milestone for 2023,12/31/24 12:00 AM,282,18134ac6,✅ Done,@Zwiqler94's Portfolio Backlog,CLOSED,Contact Me Page,8/31/23 1:18,https://github.com/Zwiqler94/jz-portfolio/issues/282
MDQ6VXNlcjEwMjI2MDg0,Zwiqler94,Jake Z,MDQ6VXNlcjEwMjI2MDg0,FALSE,Zwiqler94,Jake Z,,TRUE,7/28/23 22:47,IC_kwDOFen07c5gXzrm,Zwiqler94,OWNER,"resources:\n\n-  http://mcg.mbitson.com/#!?mcgpalette0=%23a2c4c9&mcgpalette1=%2326a69a&themename=mcgtheme\n- https://www.materialpalette.com/\n- https://gka.github.io/palettes/#/12|d|00429d,96ffea,ffffe0|ffffe0,ff005e,93003a|1|1",7/2/23 22:01,TRUE,FALSE,,https://github.com/Zwiqler94/jz-portfolio/issues/269#issuecomment-1616853734,TRUE,7/2/23 21:56,I_kwDOFen07c5qY9EH,MDU6TGFiZWwzMDAyMzA3NTc0,enhancement,New feature or request,a2eeef,2,v2 Release - Content Pt. 1,"First stable version!\r\n\r\n- Design Spike\r\n  -  color\r\n  -  typography\r\n  -  Breakpoints basic\r\n- Content \r\n   -  Homepage \r\n   -  About me\r\n      - About Me Tab\r\n      - Skills Tab\r\n  - Add Contact Me, designs in v4\r\n     ",8/16/23 12:00 AM,269,18134ac6,✅ Done,@Zwiqler94's Portfolio Backlog,CLOSED,Try New Color Pallette,7/28/23 22:47,https://github.com/Zwiqler94/jz-portfolio/issues/269
,,,,,,,,,,,,,,,,,,,,,,MDU6TGFiZWwzMTAzMTgyOTMx,style,"Improvements of UI styling (CSS, SCSS)",fbca04,,,,,,,,,,Empty,,
,,,MDQ6VXNlcjEwMjI2MDg0,FALSE,Zwiqler94,Jake Z,- [x] #289\r\n- [x] #290,FALSE,,IC_kwDOFen07c5gVD-l,Zwiqler94,OWNER,also added new routes to retrieve posts from pg db,7/1/23 21:17,FALSE,FALSE,,https://github.com/Zwiqler94/jz-portfolio/issues/265#issuecomment-1616134053,TRUE,6/28/23 0:37,I_kwDOFen07c5p-WhZ,MDU6TGFiZWwzMDAyMzA3NTc0,enhancement,New feature or request,a2eeef,8,2023-2024,Task Tracking Milestone for 2023,12/31/24 12:00 AM,265,dd6d47d5,🏗 In progress,@Zwiqler94's Portfolio Backlog,OPEN,Migrate to DB to Retrieve Post Info from,11/19/23 5:14,https://github.com/Zwiqler94/jz-portfolio/issues/265
,,,,,,,,,,,,,,,,,,,,,,LA_kwDOFen07c8AAAABSQbNTg,Content,task to add content,327604,,,,,,,,,,Empty,,
,,,MDQ6VXNlcjEwMjI2MDg0,FALSE,Zwiqler94,Jake Z,Enhance #111 ,FALSE,,,,,,,,,,,,6/23/23 4:40,I_kwDOFen07c5pi7tl,MDU6TGFiZWwzMDAyMzA3NTc0,enhancement,New feature or request,a2eeef,4,CI/CD Versioning,Purpose of this milestone is to finalize a versioning solution for the project,12/31/23 12:00 AM,257,db536ffd,📋 Backlog,@Zwiqler94's Portfolio Backlog,OPEN,Update Language In CI/CD and Versioning Workflows (#111 Enhancements),6/23/23 4:43,https://github.com/Zwiqler94/jz-portfolio/issues/257
,,,,,,,,,,,,,,,,,,,,,,MDU6TGFiZWwzMTU3NDA3NjEy,automation,Build pipeline modifications,c2e0c6,,,,,,,,,,Empty,,
MDQ6VXNlcjEwMjI2MDg0,Zwiqler94,Jake Z,MDQ6VXNlcjEwMjI2MDg0,FALSE,Zwiqler94,Jake Z,  - [ ] #126\r\n  - [ ] #127\r\n  - [ ] #128\r\n  - [ ] #129\r\n  - [ ] #130\r\n  - [ ] #131,FALSE,,,,,,,,,,,,5/19/23 3:46,I_kwDOFen07c5mUKL5,MDU6TGFiZWwzMDAyMzA3NTc0,enhancement,New feature or request,a2eeef,8,2023-2024,Task Tracking Milestone for 2023,12/31/24 12:00 AM,138,db536ffd,📋 Backlog,@Zwiqler94's Portfolio Backlog,OPEN,Huxley News,7/18/23 5:26,https://github.com/Zwiqler94/jz-portfolio/issues/138
,,,,,,,,,,,,,,,,,,,,,,LA_kwDOFen07c8AAAABSQbNTg,Content,task to add content,327604,,,,,,,,,,Empty,,
MDQ6VXNlcjEwMjI2MDg0,Zwiqler94,Jake Z,MDQ6VXNlcjEwMjI2MDg0,FALSE,Zwiqler94,Jake Z,- [x] #293\r\n- [ ] #294,FALSE,,,,,,,,,,,,5/19/23 3:42,I_kwDOFen07c5mUJml,MDU6TGFiZWwzMDAyMzA3NTc0,enhancement,New feature or request,a2eeef,8,2023-2024,Task Tracking Milestone for 2023,12/31/24 12:00 AM,137,db536ffd,📋 Backlog,@Zwiqler94's Portfolio Backlog,OPEN,Social Page,7/18/23 5:35,https://github.com/Zwiqler94/jz-portfolio/issues/137
,,,,,,,,,,,,,,,,,,,,,,LA_kwDOFen07c8AAAABSQbNTg,Content,task to add content,327604,,,,,,,,,,Empty,,
